,ID,Fuel Type Code,Access Code,Geocode Status,Latitude,Longitude,City,State,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Connector Types,EV Pricing,CNG Dispenser Num,LPG Nozzle Types
19304,115507,ELEC,public,200-9,41.250822,-75.814271,Wilkes-Barre,PA,,4.0,,TESLA,Free,,
19305,115508,ELEC,public,200-8,41.225003,-75.868617,Wilkes-Barre Township,PA,,2.0,,TESLA,Free,,
19306,115509,ELEC,public,200-8,41.491479,-71.32672,Newport,RI,,3.0,,TESLA,Free,,
19307,115510,ELEC,public,200-9,41.488219,-71.313578,Newport,RI,,1.0,,TESLA,Free,,
19308,115511,ELEC,public,200-8,41.726946,-71.438465,Warwick,RI,,12.0,,TESLA,Free,,
19309,115512,ELEC,public,200-9,41.310729,-71.854614,Watch Hill,RI,,3.0,,J1772 TESLA,Free,,
19310,115513,ELEC,public,200-9,41.331086,-71.750847,Westerly,RI,,3.0,,J1772 TESLA,Free,,
19802,116037,ELEC,public,200-9,43.725257,-72.589744,Barnard,VT,,14.0,,TESLA,Free,,
19803,116038,ELEC,public,GPS,43.72466534228207,-72.61577535581972,Barnard,VT,,2.0,,J1772 TESLA,Free,,
19804,116039,ELEC,public,200-9,44.478337,-73.21756,Burlington,VT,,2.0,,TESLA,Free,,
19805,116040,ELEC,public,200-9,43.729854,-72.93785,Chittenden,VT,,1.0,,TESLA,Free,,
19806,116041,ELEC,public,200-9,42.939525,-72.849006,Dover,VT,,2.0,,J1772 TESLA,Free,,
19807,116042,ELEC,public,200-9,42.964996,-72.892181,Dover,VT,,9.0,,J1772 TESLA,Free,,
19808,116043,ELEC,public,200-9,43.172561,-72.6091,Grafton,VT,,1.0,,TESLA,Free,,
19809,116045,ELEC,public,200-9,44.937225,-72.500135,Jay,VT,,18.0,,J1772 TESLA,Free,,
19810,116049,ELEC,public,GPS,43.613951,-72.756156,Killington,VT,,9.0,,J1772 TESLA,Free,,
19811,116050,ELEC,public,GPS,43.6624734,-72.8431675,Killington,VT,,9.0,,J1772 TESLA,Free,,
19812,116051,ELEC,public,200-9,43.657482,-72.790207,Killington,VT,,1.0,,TESLA,Free,,
19813,116052,ELEC,public,200-9,43.420749,-72.71463,Ludlow,VT,,12.0,,J1772 TESLA,Free,,
19814,116053,ELEC,public,200-9,43.167137,-73.069046,Manchester,VT,,2.0,,J1772 TESLA,Free,,
19815,116054,ELEC,public,200-9,44.014739,-73.16864,Middlebury,VT,,1.0,,TESLA,Free,,
19816,116055,ELEC,public,200-9,44.018421,-73.165229,Middlebury,VT,,2.0,,J1772 TESLA,Free,,
19817,116056,ELEC,public,200-9,42.986499,-72.656822,Newfane,VT,,1.0,,TESLA,Free,,
19818,116057,ELEC,public,200-9,43.216625,-72.925323,Peru,VT,,4.0,,J1772 TESLA,Free,,
19819,116058,ELEC,public,GPS,43.64479432471727,-72.42451944047548,Quechee,VT,,3.0,,TESLA,Free,,
19820,116059,ELEC,public,200-9,44.073711,-72.746215,Roxbury,VT,,1.0,,TESLA,Free,,
19821,116061,ELEC,public,200-9,44.530125,-72.781145,Stowe,VT,,2.0,,J1772 TESLA,Free,,
19822,116063,ELEC,public,200-9,43.09962,-72.703605,Townshend,VT,,2.0,,J1772 TESLA,Free,,
19823,116064,ELEC,public,200-8,44.197148,-73.361825,Vergennes,VT,,2.0,,J1772 TESLA,Free,,
19824,116065,ELEC,public,200-9,44.186954,-72.878311,Waitsfield,VT,,1.0,,TESLA,Free,,
19825,116066,ELEC,public,200-9,44.136264,-72.894632,Warren,VT,,2.0,,TESLA,Free,,
19826,116067,ELEC,public,200-9,44.124263,-72.882637,Warren,VT,,2.0,,TESLA,Free,,
19827,116068,ELEC,public,200-9,44.145717,-72.879295,Warren,VT,,12.0,,J1772 TESLA,Free,,
19828,116069,ELEC,public,200-9,42.923118,-72.894928,Wilmington,VT,,14.0,,TESLA,Free,,
19829,116070,ELEC,public,200-8,43.623951,-72.519319,Woodstock,VT,,2.0,,TESLA,Free,,
19830,116071,ELEC,public,200-9,43.596686,-72.600724,Woodstock,VT,,1.0,,TESLA,Free,,
19831,116072,ELEC,public,200-8,43.626916,-72.509662,Woodstock,VT,,2.0,,J1772 TESLA,Free,,
20427,116730,ELEC,public,GPS,42.510699,-71.230282,Burlington,MA,,2.0,,J1772,,,
20428,116731,ELEC,public,GPS,42.51077,-71.230727,Billerica,MA,,2.0,,J1772,,,
20438,116756,ELEC,public,GPS,43.211389,-77.431667,Webster,NY,,2.0,,J1772,Free,,
20444,116764,ELEC,public,GPS,39.870837,-75.674569,Kennett Square,PA,,2.0,,J1772,Free,,
20446,116767,ELEC,public,GPS,39.819316,-77.235649,Gettysburg,PA,,1.0,,J1772,Free,,
20462,116790,ELEC,public,GPS,41.53713,-73.005613,Waterbury,CT,,,8.0,TESLA,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,
20475,116807,ELEC,public,GPS,40.804844,-73.180149,Islandia,NY,,,10.0,TESLA,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,
