,category,model,model_year,manufacturer,fuel,all_electric_range,PHEV_total_range,alternative_fuel_economy_city,alternative_fuel_economy_highway,alternative_fuel_economy_combined,conventional_fuel_economy_city,conventional_fuel_economy_highway,conventional_fuel_economy_combined
441,Sedan/Wagon,Elantra Hybrid,2021,Hyundai,Hybrid Electric,,,,,,49.0,52.0,50.0
442,Sedan/Wagon,Elantra Hybrid Blue,2021,Hyundai,Hybrid Electric,,,,,,53.0,56.0,54.0
443,Sedan/Wagon,Ioniq,2021,Hyundai,Hybrid Electric,,,,,,54.0,56.0,55.0
444,Sedan/Wagon,Ioniq Blue,2021,Hyundai,Hybrid Electric,,,,,,59.0,60.0,59.0
445,Sedan/Wagon,Ioniq Electric,2021,Hyundai,Electric,170.0,,145.0,121.0,133.0,,,
446,Sedan/Wagon,Ioniq Plug-in Hybrid,2021,Hyundai,Plug-in Hybrid Electric,29.0,,,,119.0,52.0,51.0,52.0
447,SUV,Kona Electric,2021,Hyundai,Electric,258.0,,132.0,108.0,120.0,,,
448,SUV,Nexo,2021,Hyundai,Hydrogen Fuel Cell,,,59.0,54.0,57.0,,,
449,SUV,Nexo Blue,2021,Hyundai,Hydrogen Fuel Cell,,,65.0,58.0,61.0,,,
450,Sedan/Wagon,Santa Fe Hybrid,2021,Hyundai,Hybrid Electric,,,,,,33.0,30.0,32.0
451,Sedan/Wagon,Santa Fe Hybrid Blue,2021,Hyundai,Hybrid Electric,,,,,,36.0,31.0,34.0
452,Sedan/Wagon,Sonata Hybrid,2021,Hyundai,Hybrid Electric,,,,,,45.0,51.0,47.0
453,Sedan/Wagon,Sonata Hybrid Blue,2021,Hyundai,Hybrid Electric,,,,,,50.0,54.0,52.0
454,SUV,E-PACE MHEV,2021,Jaguar,Hybrid Electric,,,,,,21.0,26.0,23.0
455,SUV,F-PACE P340 MHEV,2021,Jaguar,Hybrid Electric,,,,,,20.0,27.0,22.0
456,SUV,F-PACE P400 MHEV,2021,Jaguar,Hybrid Electric,,,,,,20.0,26.0,22.0
457,SUV,I-PACE EV400,2021,Jaguar,Electric,234.0,,80.0,72.0,76.0,,,
458,SUV,Wrangler 2dr 4x4,2021,Jeep,Hybrid Electric,,,,,,20.0,24.0,21.0
459,SUV,Wrangler 4dr 4x4,2021,Jeep,Hybrid Electric,,,,,,19.0,24.0,21.0
460,SUV,Wrangler 4dr 4xe,2021,Jeep,Plug-in Hybrid Electric,22.0,,,,49.0,20.0,20.0,20.0
461,Sedan/Wagon,K27,2021,Kandi,Electric,59.0,,127.0,102.0,114.0,,,
462,Sedan/Wagon,"GS-6 (21"" wheels)",2021,Karma,Plug-in Hybrid Electric,61.0,,,,70.0,27.0,25.0,26.0
463,Sedan/Wagon,"Revero GT (21"" wheels)",2021,Karma,Plug-in Hybrid Electric,61.0,,,,70.0,27.0,25.0,26.0
464,Sedan/Wagon,Niro,2021,Kia,Hybrid Electric,,,,,,51.0,46.0,49.0
465,Sedan/Wagon,Niro Electric,2021,Kia,Electric,239.0,,123.0,102.0,112.0,,,
466,Sedan/Wagon,Niro FE,2021,Kia,Hybrid Electric,,,,,,53.0,48.0,50.0
467,Sedan/Wagon,Niro Plug-in Hybrid,2021,Kia,Plug-in Hybrid Electric,26.0,,,,105.0,48.0,44.0,46.0
468,Sedan/Wagon,Niro Touring,2021,Kia,Hybrid Electric,,,,,,46.0,40.0,43.0
469,SUV,Sorento Hybrid,2021,Kia,Hybrid Electric,,,,,,39.0,35.0,37.0
470,SUV,Defender 110 MHEV,2021,Land Rover,Hybrid Electric,,,,,,17.0,22.0,19.0
471,SUV,Defender 90 MHEV,2021,Land Rover,Hybrid Electric,,,,,,17.0,22.0,19.0
472,SUV,Discovery MHEV,2021,Land Rover,Hybrid Electric,,,,,,18.0,24.0,21.0
473,SUV,Range Rover ,2021,Land Rover,Biodiesel (B20),,,,,,22.0,28.0,24.0
474,SUV,Range Rover MHEV,2021,Land Rover,Hybrid Electric,,,,,,18.0,23.0,20.0
475,SUV,Range Rover PHEV,2021,Land Rover,Plug-in Hybrid Electric,19.0,,,,42.0,18.0,21.0,19.0
476,SUV,Range Rover Sport,2021,Land Rover,Biodiesel (B20),,,,,,22.0,28.0,24.0
477,SUV,Range Rover Sport MHEV,2021,Land Rover,Hybrid Electric,,,,,,19.0,24.0,21.0
478,SUV,Range Rover Sport PHEV,2021,Land Rover,Plug-in Hybrid Electric,19.0,,,,42.0,18.0,21.0,20.0
479,SUV,Range Rover Velar P340 MHEV,2021,Land Rover,Hybrid Electric,,,,,,20.0,26.0,22.0
480,SUV,Range Rover Velar P400 MHEV,2021,Land Rover,Hybrid Electric,,,,,,19.0,25.0,21.0
481,Sedan/Wagon,ES 300h,2021,Lexus,Hybrid Electric,,,,,,43.0,44.0,44.0
482,Sedan/Wagon,LC 500h,2021,Lexus,Hybrid Electric,,,,,,26.0,34.0,29.0
483,Sedan/Wagon,LS 500h,2021,Lexus,Hybrid Electric,,,,,,25.0,33.0,28.0
484,Sedan/Wagon,LS 500h AWD,2021,Lexus,Hybrid Electric,,,,,,23.0,29.0,26.0
485,SUV,NX 300h AWD,2021,Lexus,Hybrid Electric,,,,,,33.0,30.0,31.0
486,SUV,RX 450h AWD,2021,Lexus,Hybrid Electric,,,,,,31.0,28.0,30.0
487,SUV,RX 450h L AWD,2021,Lexus,Hybrid Electric,,,,,,29.0,28.0,29.0
488,Sedan/Wagon,UX 250h,2021,Lexus,Hybrid Electric,,,,,,43.0,41.0,42.0
489,Sedan/Wagon,UX 250h AWD,2021,Lexus,Hybrid Electric,,,,,,41.0,38.0,39.0
490,SUV,Aviator AWD PHEV,2021,Lincoln,Plug-in Hybrid Electric,21.0,,,,56.0,22.0,25.0,23.0
491,SUV,Corsair AWD PHEV,2021,Lincoln,Plug-in Hybrid Electric,28.0,,,,78.0,34.0,32.0,33.0
492,Sedan/Wagon,AMG CLS 53 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,,,,,,21.0,26.0,23.0
493,Sedan/Wagon,AMG E53 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,,,,,,22.0,29.0,25.0
494,Sedan/Wagon,AMG E53 4MATIC+ (Convertible),2021,Mercedes-Benz,Hybrid Electric,,,,,,21.0,27.0,23.0
495,Sedan/Wagon,AMG E53 4MATIC+ (Coupe),2021,Mercedes-Benz,Hybrid Electric,,,,,,21.0,28.0,24.0
496,SUV,AMG GLE 53 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,,,,,,18.0,22.0,19.0
497,SUV,AMG GLE 53 4MATIC+ Coupe,2021,Mercedes-Benz,Hybrid Electric,,,,,,18.0,23.0,20.0
498,SUV,AMG GLE 63 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,,,,,,15.0,19.0,16.0
499,SUV,AMG GLE 63 S 4MATIC+ Coupe,2021,Mercedes-Benz,Hybrid Electric,,,,,,15.0,19.0,17.0
500,SUV,AMG GLS 63 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,,,,,,14.0,18.0,16.0
501,Sedan/Wagon,AMG GT 43 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,,,,,,20.0,25.0,22.0
