,station_id,acces_code,latitude,longitude,city,state,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,ev_connector_types,ev_pricing
10498,80128,public,39.739546,-75.043515,Washington Township,NJ,0,2,-1,J1772,-1
10568,80416,public,41.330578,-73.472216,Ridgefield,CT,0,0,1,J1772COMBO,-1
10690,80871,public,43.203546,-77.661537,Rochester,NY,0,1,1,J1772 J1772COMBO,Free
10691,80873,public,41.0437,-72.4568,Peconic,NY,0,1,-1,J1772,$2 per session
10712,80999,public,42.181605,-72.636166,Holyoke,MA,0,2,-1,J1772,Free
10770,81152,private,40.818834,-74.100607,Rutherford,NJ,0,2,-1,J1772,-1
10822,81362,public,44.506328,-73.246245,Burlington,VT,0,2,-1,J1772,-1
10882,81600,private,40.731557,-74.975661,Washington,NJ,0,2,-1,J1772,Free
10889,81608,public,43.099649,-77.897024,Churchville,NY,0,1,-1,J1772,Free
10894,81613,public,40.438052,-79.998858,Pittsburgh,PA,0,2,-1,J1772,-1
10895,81614,private,40.429488,-79.977323,Pittsburgh,PA,0,2,-1,J1772,-1
10929,81745,private,40.8147,-74.223698,Montclair,NJ,0,1,-1,J1772,Free
10978,82071,public,41.399432,-73.44475,Danbury,CT,0,2,-1,J1772,Free
10979,82073,public,41.772484,-72.70705,Hartford,CT,0,2,-1,J1772,Free
10980,82074,public,41.651179,-72.658514,Rockyhill,CT,0,2,-1,J1772,Free
11021,82170,public,40.260662,-75.724262,Douglassville,PA,0,1,-1,TESLA,Free
11032,82221,public,44.253135,-72.571693,Montpelier,VT,0,2,-1,J1772,Free
11043,82260,public,43.10187,-77.43936,Fairport,NY,0,1,-1,J1772,Free
11044,82264,public,42.347597,-71.073954,Boston,MA,0,2,-1,J1772,-1
11050,82292,public,40.812935,-74.218948,Montclair,NJ,0,2,-1,J1772,Free
11056,82315,public,40.256056,-74.681242,Hamilton Township,NJ,0,2,-1,J1772,-1
11072,82355,public,43.181259,-76.256973,Clay,NY,0,2,-1,J1772,Free
11106,82435,public,44.920764,-73.113052,Swanton,VT,0,4,-1,J1772,L1: $0.89 per kWh; L2: $1.40 per kWh
11108,82443,public,40.069107,-76.300991,Lancaster,PA,0,2,-1,J1772,-1
11116,82458,public,42.342653,-71.05163,Boston,MA,0,8,-1,J1772 TESLA,"$23 early bird (before 9am), $30 after, regardless of charging time. Pay at garage office."
11119,82461,public,42.36758,-71.065477,Boston,MA,0,4,-1,J1772,Free
11120,82462,public,42.362557,-71.064251,Boston,MA,0,1,-1,J1772,-1
11121,82463,public,41.655972,-70.119368,Dennis,MA,0,1,-1,J1772,Free
11127,82472,public,40.836122,-77.797648,State College,PA,0,1,-1,J1772,Free
11128,82473,public,40.829495,-77.805689,State College,PA,0,1,-1,J1772,Free; Donations encouraged
11138,82504,public,40.205246,-74.659446,Hamilton Township,NJ,0,2,-1,J1772,-1
11157,82588,public,44.528653,-72.778891,Stowe,VT,0,2,-1,J1772,-1
11169,82641,public,44.44046,-73.113792,Williston,VT,0,1,-1,J1772,Free
11171,82646,private,41.77,-72.68,Hartford,CT,0,8,-1,J1772,-1
11172,82647,private,41.77,-72.68,Hartford,CT,0,2,-1,J1772,-1
11175,82664,public,41.362534,-75.677495,Moosic,PA,0,2,-1,J1772,-1
11178,82670,public,41.8041965,-72.2442218,Storrs,CT,0,4,-1,J1772,Variable parking fee
11185,82714,public,44.635896,-72.68458,Johnson,VT,0,2,-1,J1772,Free
12430,85487,public,40.619297,-74.564719,Basking Ridge,NJ,0,2,-1,J1772,-1
12458,85573,public,40.351268,-74.659425,Princeton,NJ,0,2,-1,J1772,-1
12483,85613,public,42.107408,-80.134009,Erie,PA,0,2,-1,J1772,-1
12499,85668,public,40.701829,-75.288488,Easton,PA,0,2,-1,J1772,-1
